size,cycles,type,dpu
512,133408,enc,6
512,132848,dec,6
512,133408,enc,7
512,132736,dec,7
512,133472,enc,8
512,132720,dec,8
512,133408,enc,9
512,132736,dec,9
512,133392,enc,10
512,132784,dec,10
512,133408,enc,11
512,132752,dec,11
512,133408,enc,12
512,132736,dec,12
512,133408,enc,13
512,132736,dec,13
512,133408,enc,14
512,132736,dec,14
512,133392,enc,15
512,132848,dec,15
512,133408,enc,16
512,132736,dec,16
512,133392,enc,17
512,132784,dec,17
512,133408,enc,18
512,132736,dec,18
512,133408,enc,19
512,132736,dec,19
512,133408,enc,20
512,132736,dec,20
512,133392,enc,21
512,132784,dec,21
512,133408,enc,22
512,132736,dec,22
512,133392,enc,23
512,132784,dec,23
512,133408,enc,24
512,132736,dec,24
512,133408,enc,25
512,132784,dec,25
512,133392,enc,26
512,132784,dec,26
512,133408,enc,27
512,132784,dec,27
512,133408,enc,28
512,132736,dec,28
512,133392,enc,29
512,132848,dec,29
512,133392,enc,30
512,132784,dec,30
512,133408,enc,31
512,132736,dec,31
512,133408,enc,32
512,132736,dec,32
512,133408,enc,33
512,132752,dec,33
512,133408,enc,34
512,132736,dec,34
512,133408,enc,35
512,132736,dec,35
512,133392,enc,36
512,132784,dec,36
512,133392,enc,37
512,132848,dec,37
512,133408,enc,38
512,132736,dec,38
512,133392,enc,39
512,132784,dec,39
512,133408,enc,40
512,132784,dec,40
512,133392,enc,41
512,132784,dec,41
512,133408,enc,42
512,132736,dec,42
512,133392,enc,43
512,132784,dec,43
512,133408,enc,44
512,132752,dec,44
512,133392,enc,45
512,132784,dec,45
512,133408,enc,46
512,132736,dec,46
512,133408,enc,47
512,132784,dec,47
512,133392,enc,48
512,132784,dec,48
512,133408,enc,49
512,132784,dec,49
512,133392,enc,50
512,132784,dec,50
512,133408,enc,51
512,132736,dec,51
512,133392,enc,52
512,132784,dec,52
512,133408,enc,53
512,132736,dec,53
512,133392,enc,54
512,132784,dec,54
512,133408,enc,55
512,132736,dec,55
512,133408,enc,56
512,132784,dec,56
512,133408,enc,57
512,132736,dec,57
512,133392,enc,58
512,132848,dec,58
512,133408,enc,59
512,132736,dec,59
512,133392,enc,60
512,132784,dec,60
512,133392,enc,61
512,132784,dec,61
512,133408,enc,62
512,132736,dec,62
512,133408,enc,63
512,132784,dec,63
1024,265424,enc,0
1024,264640,dec,0
1024,265376,enc,1
1024,264688,dec,1
1024,265424,enc,2
1024,264640,dec,2
1024,265424,enc,3
1024,264640,dec,3
1024,265424,enc,4
1024,264640,dec,4
1024,265424,enc,5
1024,264640,dec,5
1024,265424,enc,6
1024,264720,dec,6
1024,265424,enc,7
1024,264640,dec,7
