size,cycles,type,dpu
1024,38256,enc,36
1024,46256,dec,36
1024,37616,enc,37
1024,45424,dec,37
1024,40128,enc,38
1024,43536,dec,38
1024,38176,enc,39
1024,45232,dec,39
1024,39664,enc,40
1024,43744,dec,40
1024,38736,enc,41
1024,46128,dec,41
1024,38320,enc,42
1024,46096,dec,42
1024,38864,enc,43
1024,43520,dec,43
1024,39728,enc,44
1024,45776,dec,44
1024,38224,enc,45
1024,45984,dec,45
1024,38176,enc,46
1024,46464,dec,46
1024,39808,enc,47
1024,45984,dec,47
1024,40240,enc,48
1024,46448,dec,48
1024,39776,enc,49
1024,46736,dec,49
1024,38400,enc,50
1024,45792,dec,50
1024,38432,enc,51
1024,46432,dec,51
1024,39712,enc,52
1024,45008,dec,52
1024,40208,enc,53
1024,45840,dec,53
1024,39312,enc,54
1024,46048,dec,54
1024,39072,enc,55
1024,46432,dec,55
1024,38464,enc,56
1024,46416,dec,56
1024,38624,enc,57
1024,44080,dec,57
1024,38176,enc,58
1024,46176,dec,58
1024,38512,enc,59
1024,46176,dec,59
1024,38176,enc,60
1024,46848,dec,60
1024,38192,enc,61
1024,46176,dec,61
1024,39680,enc,62
1024,44912,dec,62
1024,38608,enc,63
1024,44320,dec,63
2048,62128,enc,0
2048,68368,dec,0
2048,62992,enc,1
2048,68000,dec,1
2048,63904,enc,2
2048,69424,dec,2
2048,63728,enc,3
2048,68976,dec,3
2048,63152,enc,4
2048,70576,dec,4
2048,63696,enc,5
2048,69008,dec,5
2048,62656,enc,6
2048,70352,dec,6
2048,63456,enc,7
2048,68672,dec,7
2048,63392,enc,8
2048,67856,dec,8
2048,63344,enc,9
2048,70416,dec,9
2048,63184,enc,10
2048,69296,dec,10
2048,62368,enc,11
2048,70656,dec,11
2048,62016,enc,12
2048,69104,dec,12
2048,62944,enc,13
2048,69904,dec,13
2048,62560,enc,14
2048,69344,dec,14
2048,62528,enc,15
2048,67264,dec,15
2048,62480,enc,16
2048,68848,dec,16
2048,62976,enc,17
2048,67504,dec,17
2048,62800,enc,18
2048,68880,dec,18
2048,63840,enc,19
2048,70080,dec,19
2048,63248,enc,20
2048,69136,dec,20
2048,62304,enc,21
2048,68944,dec,21
2048,64016,enc,22
2048,69136,dec,22
2048,62688,enc,23
2048,67648,dec,23
2048,63808,enc,24
2048,70464,dec,24
2048,62944,enc,25
2048,68848,dec,25
2048,63936,enc,26
2048,67760,dec,26
2048,62688,enc,27
2048,69088,dec,27
2048,64048,enc,28
2048,67584,dec,28
2048,62480,enc,29
2048,69376,dec,29
2048,62896,enc,30
2048,70240,dec,30
2048,64048,enc,31
2048,69328,dec,31
2048,62816,enc,32
2048,68128,dec,32
2048,62336,enc,33
2048,70400,dec,33
2048,62432,enc,34
2048,68528,dec,34
2048,62992,enc,35
2048,69520,dec,35
2048,63776,enc,36
2048,70096,dec,36
2048,62496,enc,37
2048,69008,dec,37
2048,62656,enc,38
2048,69856,dec,38
2048,62720,enc,39
2048,70544,dec,39
2048,62512,enc,40
2048,69232,dec,40
2048,62400,enc,41
2048,70768,dec,41
2048,62672,enc,42
2048,70304,dec,42
2048,63984,enc,43
2048,70416,dec,43
2048,63856,enc,44
2048,70224,dec,44
2048,63472,enc,45
2048,69792,dec,45
2048,64016,enc,46
2048,68864,dec,46
2048,64048,enc,47
2048,69104,dec,47
2048,62752,enc,48
2048,68960,dec,48
2048,62208,enc,49
2048,67872,dec,49
2048,63440,enc,50
